SIDO	SGG	EMD_ETC	읍면동명	투표구명	선거인수	투표수	더불어민주당 이재명	국민의힘 윤석열	정의당 심상정	기본소득당 오준호	국가혁명당 허경영	노동당 이백윤	새누리당 옥은호	신자유민주연합 김경재	우리공화당 조원진	진보당 김재연	통일한국당 이경희	한류연합당 김민찬	유효투표수	무효투표수	기권수
강원도	원주시	단구동		단구동제4투	1,523	903	303	541	27	0	19	0	1	0	1	2	0	0	894	9	620
강원도	원주시	단구동		단구동제5투	2,806	1,655	664	902	42	3	22	0	0	0	3	1	0	1	1,638	17	1,151
강원도	원주시	단구동		단구동제6투	2,568	1,609	716	810	50	2	13	0	0	1	3	0	0	0	1,595	14	959
강원도	원주시	단구동		단구동제7투	2,740	1,506	653	780	38	1	20	0	0	1	0	1	0	1	1,495	11	1,234
강원도	원주시	단구동		단구동제8투	2,473	1,423	626	705	44	3	30	0	1	0	0	1	0	2	1,412	11	1,050
강원도	원주시	단구동		단구동제9투	2,776	1,752	886	766	55	0	23	0	0	1	1	1	1	0	1,734	18	1,024
강원도	원주시	단구동		단구동제10투	2,340	1,365	636	640	45	0	26	1	0	0	1	2	1	0	1,352	13	975
강원도	원주시	일산동	일산동	소계	7,551	5,473	2,179	2,982	145	3	67	0	0	2	12	4	3	3	5,400	73	2,078
강원도	원주시	일산동		관내사전투표	2,786	2,786	1,211	1,444	70	2	27	0	0	0	1	3	1	1	2,760	26	0
강원도	원주시	일산동		일산동제1투	2,244	1,249	459	715	24	0	24	0	0	0	6	0	1	1	1,230	19	995
강원도	원주시	일산동		일산동제2투	2,521	1,438	509	823	51	1	16	0	0	2	5	1	1	1	1,410	28	1,083
강원도	원주시	학성동	학성동	소계	5,238	4,005	1,603	2,205	100	3	44	2	0	0	1	8	4	5	3,975	30	1,233
강원도	원주시	학성동		관내사전투표	2,423	2,421	1,064	1,262	57	0	18	0	0	0	0	5	1	1	2,408	13	2
강원도	원주시	학성동		학성동제1투	1,972	1,184	406	707	30	2	16	1	0	0	1	2	2	3	1,170	14	788
