adm_cd(행정경계파일 동이름),대선 득표 데이터 동이름
서울특별시 노원구 상계10동,서울특별시 노원구 상계10동
서울특별시 은평구 녹번동,서울특별시 은평구 녹번동
서울특별시 은평구 응암1동,서울특별시 은평구 응암제1동
서울특별시 은평구 응암2동,서울특별시 은평구 응암제2동
서울특별시 은평구 응암3동,서울특별시 은평구 응암제3동
서울특별시 은평구 증산동,서울특별시 은평구 증산동
서울특별시 은평구 수색동,서울특별시 은평구 수색동
서울특별시 은평구 신사1동,서울특별시 은평구 신사제1동
서울특별시 은평구 신사2동,서울특별시 은평구 신사제2동
서울특별시 은평구 갈현2동,서울특별시 은평구 갈현제2동
서울특별시 은평구 구산동,서울특별시 은평구 구산동
서울특별시 은평구 갈현1동,서울특별시 은평구 갈현제1동
서울특별시 은평구 진관동,서울특별시 은평구 진관동
서울특별시 은평구 불광1동,서울특별시 은평구 불광제1동
서울특별시 은평구 불광2동,서울특별시 은평구 불광제2동
서울특별시 은평구 대조동,서울특별시 은평구 대조동
서울특별시 은평구 역촌동,서울특별시 은평구 역촌동
서울특별시 서대문구 충현동,서울특별시 서대문구 충현동
서울특별시 서대문구 천연동,서울특별시 서대문구 천연동
서울특별시 서대문구 북아현동,서울특별시 서대문구 북아현동
서울특별시 서대문구 신촌동,서울특별시 서대문구 신촌동
서울특별시 서대문구 연희동,서울특별시 서대문구 연희동
서울특별시 서대문구 홍제1동,서울특별시 서대문구 홍제제1동
서울특별시 서대문구 홍제2동,서울특별시 서대문구 홍제제2동
서울특별시 서대문구 홍제3동,서울특별시 서대문구 홍제제3동
서울특별시 서대문구 홍은1동,서울특별시 서대문구 홍은제1동
서울특별시 서대문구 홍은2동,서울특별시 서대문구 홍은제2동
서울특별시 서대문구 남가좌1동,서울특별시 서대문구 남가좌제1동
서울특별시 서대문구 남가좌2동,서울특별시 서대문구 남가좌제2동
서울특별시 서대문구 북가좌1동,서울특별시 서대문구 북가좌제1동
서울특별시 서대문구 북가좌2동,서울특별시 서대문구 북가좌제2동
서울특별시 마포구 공덕동,서울특별시 마포구 공덕동
서울특별시 마포구 아현동,서울특별시 마포구 아현동
서울특별시 마포구 도화동,서울특별시 마포구 도화동
서울특별시 마포구 용강동,서울특별시 마포구 용강동
서울특별시 마포구 대흥동,서울특별시 마포구 대흥동
서울특별시 마포구 염리동,서울특별시 마포구 염리동
서울특별시 마포구 신수동,서울특별시 마포구 신수동
서울특별시 마포구 서강동,서울특별시 마포구 서강동
서울특별시 마포구 서교동,서울특별시 마포구 서교동
서울특별시 마포구 합정동,서울특별시 마포구 합정동
서울특별시 마포구 망원1동,서울특별시 마포구 망원1동
서울특별시 마포구 망원2동,서울특별시 마포구 망원2동
서울특별시 마포구 연남동,서울특별시 마포구 연남동
서울특별시 마포구 성산1동,서울특별시 마포구 성산1동
